Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
180088,2018,11/05/2018,West Hartford,3 BRIGHTON ROAD,261870.00,271500.00,0.964530387,Single Family,Single Family,25 - Other,ESTATE SALE,,
19167,2019,12/16/2019,East Hartford,1177 SILVER LANE,116190.00,209000.00,0.5559,Single Family,Single Family,,,,
50337,2005,06/15/2006,Ridgefield,107 PIN PACK RD,482830.00,890000.00,0.542505618,,,,,,
11304,2001,03/28/2002,Bridgeport,365 PLATT ST,26916.00,16000.00,1.68225,,,14,,,POINT (-73.19871 41.21592)
10341,2001,07/17/2002,Madison,12 FLOWER AVE,215100.00,499000.00,0.431062124,,,,,,POINT (-72.60886 41.27187)
170183,2017,02/12/2018,Windsor,120 FIELDSTONE DR,206080.00,345000.00,0.5973,Single Family,Single Family,,,,
42075,2004,05/23/2005,Waterbury,32 COLLEY ST,76930.00,159000.00,0.483836478,,,,,,
90028,2009,01/26/2010,Preston,47 OLD VOLUNTOWN RD,6100.00,300333.00,0.020310788,Single Family,Single Family,17 - Two Towns,MAJOR PORTION OF PROPERTY IN VOLUNTOWN SMALL ACERAGE IN PRESTON,,
70300,2007,05/20/2008,New Milford,30 CALDWELL DR,179270.00,235000.00,0.762851064,Single Family,Single Family,14 - Foreclosure,,,
130022,2013,11/15/2013,Cromwell,33 FRANKLIN ROAD,150800.00,285000.00,0.529122807,Single Family,Single Family,07 - Change in Property,NOT VALID SALE PER ASSESSOR,,
12231,2012,09/06/2013,Plainville,135 NEW BRITAIN AVE #31,139300.00,183400.00,0.759541985,Condo,Condo,,,,
170288,2017,07/25/2018,New Canaan,312 ELM ST #31,465990.00,660000.00,0.706,Condo,Condo,,,,
100289,2010,07/15/2011,Branford,11 LINDEN AVE,264400.00,305000.00,0.866885246,Two Family,Two Family,12 - Non Buildable Lot,GRANTEE OWNS PARCEL SITUATED IN FRONT OF 11 LINDEN AVE,,POINT (-72.80096 41.26073)
60228,2006,12/26/2006,West Haven,375 MORGAN LN UT 408,74550.00,118000.00,0.631779661,,,,,,
150156,2015,12/24/2015,Torrington,238 MEADOWVIEW DR,100430.00,153000.00,0.656405229,Single Family,Single Family,25 - Other,ADMIN DEED,,POINT (-73.09584 41.81859)
190135,2019,11/12/2019,New Haven,64 IRVINGTON ST,123690.00,270000.00,0.4581,Two Family,Two Family,,,,
51090,2005,05/09/2006,Danbury,22 SECOND AVE UT 3,176800.00,337777.00,0.523422258,,,,,,
80000,2008,10/01/2008,Bridgeport,225 PARK AVENUE,103540.00,30000.00,3.451333333,Two Family,Two Family,14 - Foreclosure,2007 ASSESSMENT,,
180025,2018,11/13/2018,Westbrook,164 LITTLE STANNARD BEACH RD,599750.00,1032500.00,0.5808,Single Family,Single Family,,WATERFRONT,,
32632,2003,08/12/2004,Stamford,1418 RIVERBANK RD,278460.00,755000.00,0.368821192,,,,,,POINT (-73.59513 41.1369)
51466,2005,07/03/2006,Norwalk,86 BLUFF AVE,1021790.00,1575000.00,0.648755556,,,,,,
47016,2004,06/27/2005,West Hartford,42 N MAIN ST UT 66,42500.00,170000.00,0.25,,,,,,
70218,2007,04/21/2008,Wethersfield,35 SPRING ST,75000.00,142500.00,0.526315789,Condo,Condo,,,,
20099,2002,01/03/2003,Suffield,161 S MAIN ST,148120.00,252500.00,0.586613861,,,,,,
60043,2006,10/18/2006,Middletown,20 BURGUNDY HL LN,22380.00,70000.00,0.319714286,Condo,Condo,,,,
180162,2018,03/15/2019,East Lyme,3 RATHBUN RD  #3,44100.00,94900.00,0.4646,Condo,Condo,,,,
100032,2010,06/17/2011,Bolton,19 NORMA'S WAY,270210.00,360000.00,0.750583333,Single Family,Single Family,,,,
10576,2010,08/02/2011,New Haven,92 LAWRENCE STREET,303240.00,525000.00,0.5776,Three Family,Three Family,,,,POINT (-72.91186 41.31808)
900136,2009,04/16/2010,Rocky Hill,419 ELM STREET,162260.00,206000.00,0.787669903,Single Family,Single Family,,,,
60536,2006,07/30/2007,New Milford,119 LONG MOUNTAIN ROAD,318360.00,485000.00,0.656412371,Single Family,Single Family,07 - Change in Property,,,
120602,2012,05/03/2013,Norwalk,12 INDIAN SPRING RD,1158150.00,1435000.00,0.807073171,Single Family,Single Family,,,,
20445,2020,08/12/2021,Bethel,75 ROCKWELL ROAD,252140.00,483000.00,0.522,Residential,Single Family,,,,POINT (-73.3837 41.38988)
61295,2006,08/29/2007,Danbury,8 KENDELL TER E,185400.00,172500.00,1.074782609,Single Family,Single Family,01 - Family,,,
80985,2008,09/04/2009,Stamford,75 NORMAN ROAD,407200.00,635000.00,0.641259843,Single Family,Single Family,,,,
1901643,2019,09/02/2020,Stamford,29 PONY TRAIL ROAD,523310.00,792000.00,0.6607,Single Family,Single Family,,,,
180359,2018,06/11/2019,Vernon,61 BETTE CIRCLE,143130.00,229900.00,0.6225,Single Family,Single Family,,,,POINT (-72.47342 41.84135)
140220,2014,12/18/2014,Greenwich,1 OLD CHURCH RD UNIT 7,717500.00,1388000.00,0.516930836,Condo,Condo,,,,
200133,2020,01/04/2021,New Fairfield,157 BALL POND RD,334800.00,475000.00,0.704842105,Residential,Three Family,,,,
140211,2014,05/21/2015,Wolcott,22 WIHBEY DR,131310.00,205000.00,0.640536585,Single Family,Single Family,25 - Other,"ONLY 6 DAYS ON MARKET -PER MLS 700 SQ,FT. FIN LOWER LEVEL, NOT ON TOWN RECORDS",,POINT (-72.97864 41.63175)
30597,2003,03/01/2004,Bristol,11 LAKESIDE DR 20,62320.00,102000.00,0.610980392,,,,,,
140549,2014,07/30/2015,Wallingford,1038 CLINTONVILLE RD,246500.00,280000.00,0.880357143,Single Family,Single Family,26 - Rehabilitation Deferred,,,
140119,2014,06/01/2015,Winchester,399 E WAKEFIELD BLVD,108430.00,122500.00,0.885142857,Single Family,Single Family,,,,POINT (-73.08947 41.91012)
60017,2006,10/19/2006,Madison,19 LENORE DR,486800.00,820000.00,0.593658537,Single Family,Single Family,,,,
202000164,2020,05/04/2021,Plymouth,7 ABBOTT AVENUE,105310.00,179500.00,0.5866,Residential,Single Family,,,,POINT (-73.00461 41.68756)
170857,2017,07/17/2018,West Hartford,16 CARLETON ROAD,156800.00,299200.00,0.524,Single Family,Single Family,,,,
50081,2005,12/19/2005,Ansonia,33 GROVE ST,84800.00,215000.00,0.394418605,,,,,,
190000,2019,10/01/2019,Guilford,32 BETA AVE,163340.00,322000.00,0.5073,Single Family,Single Family,,,,
20582,2002,08/28/2003,Avon,41 SMITH RD,50400.00,350000.00,0.144,,,6,,,
10624,2001,04/01/2002,West Hartford,61 LANCASTER RD,112240.00,287000.00,0.391080139,,,,,,
20644,2002,02/27/2003,Hartford,36-38 BOND ST,37310.00,80000.00,0.466375,,,,,,POINT (-72.67482 41.7446)
190573,2019,04/23/2020,Fairfield,45 FAIRWAY GREEN,333340.00,565000.00,0.59,Single Family,Single Family,,,,
130407,2013,09/09/2014,Vernon,12 FOXCROFT RD,63720.00,30000.00,2.124,Single Family,Single Family,25 - Other,UNKNOWN REASON,,
20172,2002,05/12/2003,Plymouth,16 & 14 ABBOTT AVE,82900.00,110000.00,0.753636364,,,,,,
20173,2002,05/28/2003,Derby,35 MT PLEASANT ST,59430.00,8482.00,7.006602216,,,10,,,
20023,2002,10/28/2002,Trumbull,101 GOVERNOR TMBL WAY 1,272580.00,437500.00,0.62304,,,7,,,
170323,2017,02/14/2018,West Hartford,15 GOLF ROAD,407750.00,630700.00,0.6465,Single Family,Single Family,,,,
190312,2019,05/05/2020,South Windsor,972 MAIN ST,155000.00,162500.00,0.9538,Single Family,Single Family,01 - Family,,,
40456,2004,09/16/2005,Montville,24 ROBIN LN,230930.00,520000.00,0.444096154,,,,,,
15014,2015,04/05/2016,Eastford,21 HARTFORD TPKE,126980.00,197000.00,0.644568528,Single Family,Single Family,,126b/25/5,,
130470,2013,07/01/2014,Manchester,27 PRINCETON STREET,125700.00,183500.00,0.685013624,Single Family,Single Family,,,,
90057,2009,02/16/2010,Woodstock,1669 RT 169,142160.00,150000.00,0.947733333,Single Family,Single Family,01 - Family,,,
10347,2001,04/02/2002,Newington,WILLARD AVE,560.00,400.00,1.4,,,1,,,
40088,2004,01/03/2005,Plymouth,374 SOUTH ST,64240.00,163000.00,0.394110429,,,,,,
110088,2011,01/05/2012,Norwich,147 WESTLEDGE DR,22000.00,11500.00,1.913043478,,,25 - Other,FORECLOSURE BY SALE COMMITTEE DEED,,
70416,2007,03/10/2008,New Haven,29 WHITE ST,118300.00,15000.00,7.886666667,Three Family,Three Family,25 - Other,ASSESS > SALE,,POINT (-72.93947 41.29856)
140700,2014,03/17/2015,Stamford,140 GROVE STREET # 6G,90780.00,166800.00,0.544244604,Condo,Condo,,,,
130011,2013,10/15/2013,Branford,46 DRISCOLL RD,253100.00,355000.00,0.712957746,Single Family,Single Family,,,,
140191,2014,02/25/2015,Enfield,356 GEORGE WASHINGTON RD,115250.00,140000.00,0.823214286,Single Family,Single Family,,,,
40104,2004,11/30/2004,New London,49 GARFIELD AVE,95830.00,250000.00,0.38332,,,,,,
50285,2005,03/28/2006,Windsor,812 KENNEDY RD,108640.00,202500.00,0.536493827,,,,,,
10114,2001,01/28/2002,Ellington,5 OVERLOOK PASS,32740.00,80000.00,0.40925,,,3,,,
201053,2020,05/06/2021,Milford,15 BUCKINGHAM PL,162730.00,305000.00,0.5335,Residential,Single Family,,,,
90093,2009,05/14/2010,Putnam,8 VANDALE STREET,103700.00,135000.00,0.768148148,Single Family,Single Family,,,,
40428,2004,06/10/2005,Farmington,307 OLD MTN RD,340540.00,665000.00,0.512090226,,,,,,
60136,2006,03/23/2007,New Canaan,234 PARK ST,207900.00,402000.00,0.517164179,Condo,Condo,,,,
130407,2013,09/30/2014,South Windsor,74 LAWRENCE RD,151200.00,80000.00,1.89,Single Family,Single Family,25 - Other,EXTREME CONDITION INTERIOR PETS IN HOUSE,,
31206,2003,07/23/2004,New Britain,43 KILBOURNE AVE,90510.00,180000.00,0.502833333,,,,,,POINT (-72.77007 41.6935)
110219,2011,01/13/2012,New Haven,42 WRIGHT AVENUE,112000.00,150000.00,0.746666667,Single Family,Single Family,,,,POINT (-72.97839 41.3342)
140651,2014,06/25/2015,Fairfield,637 MILL PLAIN ROAD,459830.00,729000.00,0.630768176,Single Family,Single Family,,,,
80020,2008,10/15/2008,Branford,34D COCHECO AVE,135600.00,65000.00,2.086153846,Single Family,Single Family,08 - Part Interest,,,
40278,2004,04/27/2005,North Haven,61 FIELDSTONE CT,45150.00,308498.00,0.146354271,,,7,,,
10910,2001,09/04/2002,Torrington,182 TROTTERS WAY,102500.00,184900.00,0.554353705,,,,,,
43068,2004,09/01/2005,Waterbury,150 CLEMATIS AVE,67620.00,179900.00,0.375875486,,,,,,
170019,2017,10/13/2017,Madison,479 GREEN HILL RD,87500.00,140000.00,0.625,,,,,,
2000332,2020,03/08/2021,Naugatuck,0 WILSON ST,15130.00,15000.00,1.008666667,Vacant Land,,15 - Government Agency,FROM BOROUGH,,
11049,2001,03/22/2002,Stamford,70 WEBB AVE,169750.00,391000.00,0.434143223,,,,,,POINT (-73.5087 41.05644)
190600,2019,08/06/2020,Enfield,12 CLAREMONT AVE,110730.00,117111.00,0.9455,Single Family,Single Family,14 - Foreclosure,,,
200641,2020,08/18/2021,New Canaan,109 SAGAMORE TR,1134700.00,1525000.00,0.744,Residential,Single Family,,,,
60035,2006,11/21/2006,Wethersfield,34 PEBBLE RD,196500.00,330000.00,0.595454545,Single Family,Single Family,,,,
32101,2003,06/30/2004,Waterbury,28 SANTORO ST,87430.00,126000.00,0.693888889,,,,,,
15054,2015,09/19/2016,Barkhamsted,111 RIVER RD,224360.00,239000.00,0.93874477,,,,VACANT 1960 RETAIL /OFFICE BLDG,,
40390,2004,07/18/2005,Killingly,276 SNAKE MDW RD,140420.00,315000.00,0.445777778,,,,,,
10231,2001,12/03/2001,Milford,75 MEADOWS END RD,88340.00,177000.00,0.499096045,,,,,,
60482,2006,06/26/2007,Newington,16 PONDEROSA LN,202240.00,285000.00,0.709614035,Single Family,Single Family,,,,
40183,2004,12/06/2004,Naugatuck,51 3C BROOK ST,58250.00,120000.00,0.485416667,,,,,,
20067,2002,09/16/2003,Lisbon,PHILLIPS RD,169530.00,255000.00,0.664823529,,,,,,
60751,2006,08/21/2007,Torrington,63 COOLIDGE AVE.,113100.00,232500.00,0.486451613,Single Family,Single Family,,,,POINT (-73.1147 41.82308)
800319,2008,08/25/2009,South Windsor,3 CINNAMON SPRINGS,84350.00,118000.00,0.714830508,Condo,Condo,,,,
800092,2008,03/02/2009,Berlin,95 PATRICK DR,231300.00,346000.00,0.66849711,Single Family,Single Family,,,,
30694,2003,03/22/2004,Meriden,169 MATTABASSET DR,67550.00,163900.00,0.41214155,,,,,,
41612,2004,06/27/2005,Norwalk,42 SHOREFRONT PK,606760.00,2000000.00,0.30338,,,,,,
40550,2004,05/04/2005,New Milford,444 CANDLEWOOD,59430.00,157000.00,0.378535032,,,,,,
150435,2015,08/05/2016,Windsor,1045 DAY HILL RD,468790.00,350000.00,1.3394,,,08 - Part Interest,LAND ONLY - NOT IMPROVEMENTS,,
180121,2018,01/31/2019,Guilford,65 SACHEMS HEAD RD,151950.00,30000.00,5.065,Single Family,Single Family,25 - Other,,RATIO,POINT (-72.69486 41.26667)
180516,2018,08/01/2019,Groton,9 FORT RACHEL PL,170100.00,317000.00,0.5365,Single Family,Single Family,,,,POINT (-71.97294 41.35014)
91317,2009,09/01/2010,Waterbury,79 MADISON AVE,85390.00,99000.00,0.862525253,Single Family,Single Family,,,,
1901541,2019,08/25/2020,Stamford,38 MORGAN STREET,456640.00,590000.00,0.774,Single Family,Single Family,,TRUSTEE'S DEED,,
15463,2015,09/29/2016,Newtown,20 SERENITY LANE,163250.00,305000.00,0.535245902,Single Family,Single Family,,,,
150034,2015,12/15/2015,Winchester,734 MAIN ST,84770.00,75000.00,1.130266667,Single Family,Single Family,25 - Other,TOWN SITE SHOWS AS VACANT LAND,,POINT (-73.07651 41.92529)
120312,2012,01/29/2013,Greenwich,"24 VALLEY DRIVE, GREENWICH CT",580650.00,775000.00,0.749225806,Condo,Condo,,07-2367/s,,
125003,2012,08/27/2013,Manchester,129 BIRCH STREET,92800.00,80000.00,1.16,Single Family,Single Family,14 - Foreclosure,FORECLOSURE PER TOWN SITE,,POINT (-72.51479 41.77193)
900052,2009,03/19/2010,Westbrook,28 GOODRICH AVE,192170.00,340000.00,0.565205882,Single Family,Single Family,14 - Foreclosure,FORECLOSURE,,
90037,2009,11/03/2009,Windsor,266 BLOOMFIELD AVE,101430.00,150000.00,0.6762,Single Family,Single Family,,,,
10038,2001,11/19/2001,Orange,68 S ROLLING RDG RD,142600.00,213000.00,0.669483568,,,,,,
80159,2008,04/16/2009,Trumbull,21 HAYLOT RD,435500.00,520000.00,0.8375,Single Family,Single Family,,,,POINT (-73.20831 41.27965)
90622,2009,07/23/2010,Milford,87 WOODLAND DRIVE,230260.00,160000.00,1.439125,Single Family,Single Family,25 - Other,LOW SALE - ESTATE,,POINT (-73.10514 41.19941)
50245,2005,05/26/2006,Darien,17 MAPLE ST,342440.00,730000.00,0.46909589,,,,,,POINT (-73.49163 41.06717)
201137,2020,09/07/2021,New Britain,27-27 HILLSIDE PL,41650.00,75000.00,0.5553,Residential,Condo,,,,
80240,2008,12/02/2008,Waterbury,8 RUEL ST,129700.00,187500.00,0.691733333,Single Family,Single Family,,,,
40195,2004,05/02/2005,Stafford,189 W STAFFORD RD,75740.00,190000.00,0.398631579,,,,,,
41028,2004,06/01/2005,Meriden,7 SPRUCE HOLW,35560.00,114000.00,0.311929825,,,,,,
30377,2003,08/17/2004,East Hampton,OLDE FLATBROOK RD,158420.00,339000.00,0.467315634,,,,,,
10251,2001,09/04/2002,Old Lyme,30 NECK RD,738500.00,1150000.00,0.642173913,,,,,,
41097,2004,06/30/2005,Bristol,544 WILLIS ST,126180.00,278000.00,0.453884892,,,,,,
167669,2016,08/16/2017,Bridgeport,20 RIVERVIEW DR,74730.00,140000.00,0.533785714,Condo,Condo,,,,
190270,2019,04/28/2020,Windsor,218 MOUNTAIN RD,101990.00,170000.00,0.5999,Single Family,Single Family,,,,
20192,2002,04/30/2003,Ledyard,26 COACHMAN PIKE,206500.00,250000.00,0.826,,,14,,,
40288,2004,11/08/2004,Waterbury,925 ORONOKE RD B38 UB,63700.00,136000.00,0.468382353,,,,,,
16174,2016,08/02/2017,Derby,502 ROOSEVELT DR,143640.00,255000.00,0.563294118,Single Family,Single Family,,,,
30377,2003,03/08/2004,Shelton,880 HOWE AVE,87640.00,175000.00,0.5008,,,,,,
180696,2018,05/28/2019,Bristol,84 LUCIEN RD,170100.00,262500.00,0.648,Single Family,Single Family,,,,
2000091,2020,11/05/2020,Naugatuck,39 HORTON HILL RD #2F,56460.00,115000.00,0.4909,Residential,Condo,,,,
17211,2017,12/21/2017,Hartford,25 EAST BURNHAM ST,30660.00,60000.00,0.511,Single Family,Single Family,25 - Other,Motivated Seller Below market,PURCHASE TO FLIP,
120195,2012,09/16/2013,Ledyard,6 CHRISTY HILL RD,157080.00,214000.00,0.734018692,Single Family,Single Family,,,,
10007,2010,10/07/2010,Burlington,18 FARM RIDGE,70980.00,517949.00,0.137040519,Single Family,Single Family,07 - Change in Property,,,
51530,2005,08/02/2006,Hartford,118 MONTOWESE ST,57680.00,185000.00,0.311783784,,,10,,,
170112,2017,02/22/2018,Coventry,COOPER LN,57500.00,404000.00,0.1423,,,15 - Government Agency,"18/50/5, SOLD TO TOWN/ PA490, SPLIT",,
30734,2003,09/27/2004,Newington,104 LYDALL RD,88410.00,179900.00,0.491439689,,,,,,
10049,2001,05/01/2002,Preston,28 MILLER RD,23200.00,47500.00,0.488421053,,,,,,
20763,2002,06/30/2003,Torrington,64 COOKES RDG,74300.00,140000.00,0.530714286,,,,,,
18164,2018,04/08/2019,Stafford,13 BRADWAY POND RD,42560.00,32000.00,1.33,,,25 - Other,ABUTTER,,
201000,2020,07/30/2021,New Britain,82 DORMAN RD,97790.00,230000.00,0.4251,Residential,Single Family,,,,POINT (-72.7886 41.70249)
180315,2018,09/30/2019,Plainville,69 NORTHWEST DR C-26,113260.00,174000.00,0.6509,Condo,Condo,,,,
40010,2004,10/12/2004,New Canaan,5 OLD STUDIO RD,616900.00,1085000.00,0.568571429,,,,,,
19079,2019,02/14/2020,Orange,287 OLD TAVERN RD,293200.00,365000.00,0.8033,Single Family,Single Family,,,,
21412,2002,06/30/2003,New Haven,1716 ELLA T GRASSO BLVD,164710.00,233000.00,0.706909871,,,,,,
62057,2006,06/29/2007,Waterbury,181 MAYBROOK RD,169470.00,295000.00,0.574474576,Single Family,Single Family,,,,
91079,2009,07/07/2010,Stamford,24 IDLEWOOD DRIVE,489100.00,175000.00,2.794857143,Single Family,Single Family,08 - Part Interest,25% INTEREST TRANSFERRED,,POINT (-73.54267 41.09366)
40624,2004,05/16/2005,East Hartford,105 NAOMI DR,103150.00,194486.00,0.530372366,,,,,,
190348,2019,08/24/2020,Bethel,8 ANDREWS STREET,151410.00,300000.00,0.5047,Single Family,Single Family,07 - Change in Property,Work done with out permits,,
15280,2015,06/30/2016,Ridgefield,37 SOUTH OLMSTEAD LA,923360.00,950000.00,0.971957895,Single Family,Single Family,,,,
190152,2019,07/01/2020,Rocky Hill,18 WHITEWOOD DRIVE,423010.00,630000.00,0.6714,Single Family,Single Family,,,,POINT (-72.70107 41.66454)
180413,2018,06/26/2019,Branford,3 ROCKY LEDGE LA,174700.00,265000.00,0.6592,Single Family,Single Family,,,,POINT (-72.79915 41.2768)
800073,2008,12/09/2008,South Windsor,8 GILBERT LANE,287980.00,430000.00,0.66972093,Single Family,Single Family,,,,
180008,2018,12/03/2018,Pomfret,590 MASHAMOQUET RD,6790.00,84600.00,0.0802,,,28 - Use Assessment,SALE PRICE INCLUDED TWO OTHER PARCELS AS WELL,,
20521,2020,06/02/2021,Newtown,3 COBBLERS MILL ROAD,253420.00,535000.00,0.4736,Residential,Single Family,,,,
10029,2001,10/02/2001,Stratford,161 ALLENCREST DR,126200.00,0.00,0,,,1,,,
19102,2019,05/14/2020,Derby,73 HARRISON AVE,147000.00,282000.00,0.5213,Single Family,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #19022,
39060,2003,08/13/2004,Marlborough,PETTENGILL RD,41120.00,60000.00,0.685333333,,,,,,
13463,2013,01/07/2014,Stamford,60 STRAWBERRY HILL AVENUE # 10,869790.00,1250000.00,0.695832,,,,,,
15278,2015,09/29/2016,Plainfield,3 CONNECTICUT DR,75040.00,120000.00,0.625333333,Single Family,Single Family,10 - A Will,,,
20116,2002,11/08/2002,Greenwich,2 WEATHERVANE LN,352310.00,189666.00,1.857528497,,,8,,,
1800988,2018,05/14/2019,Stamford,168 COLONIAL ROAD # 3,355700.00,636500.00,0.5588,Condo,Condo,,,,POINT (-73.53287 41.0702)
1600138,2016,04/17/2017,Suffield,25 POOLE RD,166180.00,276750.00,0.600469738,Single Family,Single Family,,,,POINT (-72.66589 41.97377)
50583,2005,01/13/2006,New Haven,151 TOWNSEND AVE,88130.00,295000.00,0.298745763,,,,,,
150076,2015,11/16/2015,Groton,12 LINDA CT,89740.00,55000.00,1.631636364,Single Family,Single Family,15 - Government Agency,SALE FROM GOV AFTER FORECLOSURE,,
140427,2014,09/18/2015,Cheshire,10 CARRIAGE HOUSE WAY,282600.00,388500.00,0.727413127,Condo,Condo,,,,
40394,2004,01/18/2005,Manchester,527 B HILLIARD ST,44300.00,105000.00,0.421904762,,,,,,
150509,2015,09/01/2016,Branford,30D HARBOUR VILLAGE,144900.00,206000.00,0.703398058,Condo,Condo,,,,
50185,2005,11/04/2005,Norwalk,615 FOXBORO DR,281050.00,525289.00,0.535038807,,,,,,POINT (-73.41747 41.15988)
50139,2005,10/24/2005,Milford,91 MCQUILLAN DR,26310.00,22650.00,1.161589404,,,22,,,
110102,2011,12/14/2011,Wallingford,150 HIGH HILL RD,110900.00,150000.00,0.739333333,Single Family,Single Family,,VACANT,,
140497,2014,09/24/2015,Norwalk,83 WASHINGTON ST  UNIT # 4/I,123310.00,240000.00,0.513791667,Condo,Condo,,,,
110056,2011,04/19/2012,Winchester,376 PLATT HILL,260270.00,275000.00,0.946436364,Single Family,Single Family,,,,
50677,2005,04/17/2006,Manchester,297 HENRY ST,94300.00,219900.00,0.428831287,,,,,,
190169,2019,10/29/2019,Bridgeport,94-96 BELL ST,104130.00,195000.00,0.534,Two Family,Two Family,,,,
10619,2001,09/23/2002,Vernon,185 IRENE DR,139220.00,254500.00,0.547033399,,,,,,
110835,2011,08/01/2012,Norwalk,3 SEIR HILL RD A1,180740.00,181288.00,0.996977185,Condo,Condo,18 - In Lieu Of Foreclosure,,,
19071,2019,01/07/2020,Colchester,22 SKINNER RD,145600.00,240000.00,0.6067,Single Family,Single Family,,,,
30740,2003,06/30/2004,Fairfield,3 CAMPFIELD DR,104090.00,242000.00,0.430123967,,,,,,
140042,2014,12/02/2014,Windsor Locks,10A1 CONCORDE WAY,71100.00,178000.00,0.399438202,Condo,Condo,25 - Other,SALES RATIO,,
149536,2014,09/30/2015,Groton,45 PLEASANT ST,197190.00,289000.00,0.682318339,Single Family,Single Family,,,,POINT (-72.08234 41.35613)
150218,2015,03/28/2016,Naugatuck,108 BARN FINCH CIR,90640.00,130000.00,0.697230769,Condo,Condo,,,,
30261,2003,12/23/2003,East Hartford,12 CHANDLER ST,47560.00,48550.00,0.979608651,,,4,,,
80140,2008,01/16/2009,Glastonbury,2944 MAIN ST,496800.00,1200000.00,0.414,,,,,,
160196,2016,04/07/2017,Waterford,29 BRILL AVE,162970.00,240000.00,0.679041667,Single Family,Single Family,,,,
1501701,2015,08/26/2016,Stamford,25 DEAN STREET,240720.00,416500.00,0.577959184,Two Family,Two Family,,,,
10499,2010,06/29/2011,Milford,16 SEASIDE COURT,191650.00,240000.00,0.798541667,Single Family,Single Family,,,,
16072,2016,03/24/2017,Lebanon,244 LAKESIDE DR,191500.00,225000.00,0.851111111,Single Family,Single Family,,,,
200684,2020,09/01/2021,Farmington,11 GREAT MEADOW LA,100070.00,185000.00,0.5409,Residential,Condo,,,,
140731,2014,06/23/2015,Greenwich,32 HIDDEN BROOK RD,1188880.00,2162500.00,0.549771098,Single Family,Single Family,,,,
40456,2004,11/12/2004,Bridgeport,73-75 LINWOOD AVE,179340.00,191250.00,0.93772549,,,,,,
160775,2016,06/13/2017,Hamden,1286 SHERMAN AVE,68180.00,140000.00,0.487,,,,EXEC DEED,,
50052,2005,11/23/2005,East Haddam,4 KNOLL RD,104620.00,242500.00,0.43142268,,,,,,
50782,2005,04/05/2006,Meriden,86 SPRING ST,85470.00,235000.00,0.363702128,,,,,,
30842,2003,09/30/2004,Westport,6 BERKELEY PL,639200.00,1128000.00,0.566666667,,,,,,
